7,1
15,1
13,1
21,1
14,1
15,1
11,1
20,1
11,1
5,1
15,1
12,1
15,1
9,1
20,1
11,1
8,1
14,1
23,1
5,1
11,1
8,1
6,1
15,1
21,1
11,1
12,1
13,1
15,1
8,1
48,1
9,1
13,1
12,1
8,1
14,1
20,1
9,1
4,1
11,1
28,1
9,1
12,1
27,1
13,1
20,1
13,1
20,1
11,1
21,1
11,1
24,1
13,1
30,1
9,1
12,1
8,1
12,1
15,1
11,1
14,1
13,1
14,1
13,1
5,1
11,1
16,1
6,1
15,1
9,1
19,1
15,1
11,1
13,1
9,1
7,1
25,1
26,1
18,1
15,1
14,1
14,1
22,1
29,1
9,1
9,1
9,1
22,1
22,1
15,1
16,1
26,1
13,1
14,1
23,1
7,1
8,1
13,1
11,1
9,1
